customer_id,name,username,password,salary,raise
100800,Kevin Diaz,kdiaz42n,12345_5,7659.44,0.019165183028555927
100801,Deborah Hurst,dhurst51h,12345_7,3696.57,0.005005742993509139
100802,Dr. Austin Morrow,daustin60.,12345_3,8161.45,0.007604904756626154
100803,Kimberly May,kmay32y,12345_8,6872.03,0.018878429379546452
100804,Bryce Ramos,bramos52e,12345_5,3681.68,0.005124787349810345
100805,David Lewis,dlewis52d,12345_5,4059.06,0.0009650519707631667
100806,Robin Houston,rhouston72n,12345_5,7965.51,0.008694771022361119
100807,Rebecca Briggs,rbriggs61a,12345_7,6885.96,0.01812992009518565
100808,Jacob Burton,jburton62b,12345_5,4988.23,0.005798907753379774
100809,Larry Chavez,lchavez62y,12345_5,5682.18,0.01560830094609278
100810,David Miller,dmiller62d,12345_5,7300.3,0.0033965829542419736
100811,Jason Salazar,jsalazar72n,12345_5,6688.77,0.01854404952412303
100812,Melissa Smith,msmith51a,12345_7,5149.61,0.005806883672471186
100813,Robert Howard,rhoward60t,12345_6,8169.31,0.01673619373996442
100814,Kristin Irwin,kirwin51n,12345_7,4064.33,0.01714660317041534
100815,Stephanie Cruz,scruz40e,12345_9,3728.81,0.0011962763746651173
100816,Mrs. Jennifer Benson,mjennifer81.,12345_4,7036.56,0.004404644691724084
100817,Clarence Johnson,cjohnson72e,12345_8,5906.84,0.011698163746237314
100818,Anthony Ibarra,aibarra61y,12345_7,4656.18,0.006764702178716704
100819,David Lee,dlee32d,12345_5,7795.94,0.016524917315538293
100820,Ryan Short,rshort51n,12345_4,5388.91,0.005772749387047625
100821,Peggy Smith,psmith52y,12345_5,9210.85,0.004390238030330851
100822,Katelyn Robinson,krobinson81n,12345_7,5902.72,0.007078156574926819
100823,Michelle Rogers,mrogers62e,12345_8,7410.28,0.0004990566896687954
100824,Maria Campbell,mcampbell82a,12345_5,145.77,0.000936472338148493
100825,Matthew Bridges,mbridges71w,12345_7,5893.07,0.0026501853768955996
100826,Robert Chapman,rchapman70t,12345_6,4378.13,0.006709156988015001
100827,Andrea Chaney,achaney60a,12345_6,3787.39,0.011333253190207202
100828,Tyrone Lewis,tlewis50e,12345_6,6941.12,0.005726294990946899
100829,Chelsey Chavez,cchavez61y,12345_7,6663.12,0.009356014350785062
100830,Lauren Hernandez,lhernandez90n,12345_6,4546.94,0.006944409010587269
100831,Holly Burns,hburns52y,12345_5,4217.42,0.008031426885692972
100832,Thomas Silva,tsilva50s,12345_6,7790.81,0.015395615968569714
100833,Carolyn Keller,ckeller61n,12345_7,8652.43,0.01366939124374316
100834,Louis Gray,lgray42s,12345_5,7634.05,0.014164178133064607
100835,Austin Brewer,abrewer60n,12345_6,6982.15,0.009198629862019875
100836,Kathryn Pineda,kpineda61n,12345_7,6756.48,0.012908067989898513
100837,Joshua Young,jyoung50a,12345_6,6184.96,0.0037229358850280293
100838,April Moore MD,amoore52l,12345_5,3426.91,0.01606484770915496
100839,Richard Lee,rlee31d,12345_7,8537.65,0.004827171360734419
100840,Katherine Young,kyoung50e,12345_9,5912.63,0.003059884531208044
100841,Veronica Hampton,vhampton72a,12345_8,4650.17,0.003994100795670035
100842,Jonathan Paul,jpaul42n,12345_8,6213.98,0.004555035458307444
100843,Karen Barber,kbarber62n,12345_5,6765.0,0.003678689814822349
100844,Christina Wilkins,cwilkins70a,12345_9,4959.54,0.00408290480712235
100845,Kelly Thomas,kthomas62y,12345_5,6160.4,0.011514116287120726
100846,Crystal Murphy,cmurphy61l,12345_7,6805.65,0.0019569843295203417
100847,Corey Sandoval,csandoval82y,12345_5,7443.54,0.011852120779105333
100848,Amanda Black DDS,ablack50a,12345_6,5196.35,0.014710702336633937
100849,Kristen Caldwell,kcaldwell81n,12345_7,5084.14,0.0008789332395815586
100850,Stephen Stanley,sstanley71n,12345_7,6282.43,0.007743570728938718
100851,Andre Copeland,acopeland82e,12345_5,9581.64,0.009308036502136916
100852,Megan Henderson,mhenderson92n,12345_5,6319.91,0.00910118788768977
100853,Steven Barnett,sbarnett70n,12345_6,6699.59,0.00023243487946739583
100854,Debra Oneal,doneal52a,12345_5,6996.8,0.015823282521720987
100855,Jennifer Matthews,jmatthews82r,12345_8,6045.32,0.016453460477631673
100856,Virginia Ali,vali32a,12345_8,6624.39,0.019121978447480398
100857,Lori Stewart,lstewart71i,12345_4,4279.52,0.019654009527513845
100858,Jane Maldonado,jmaldonado91e,12345_4,3480.15,0.01832934271493775
100859,Michael Foster,mfoster61l,12345_7,7630.86,0.006108601639172084
100860,Julia Burton,jburton62a,12345_5,5663.85,0.01224041005206076
100861,Kathleen Bonilla,kbonilla72n,12345_8,6604.26,0.01587038016139056
100862,Patrick Parker,pparker61k,12345_7,5345.21,0.01812452235081299
100863,Melissa Bradford,mbradford81a,12345_7,7754.68,0.0036366323661992683
100864,Thomas Roberts,troberts70s,12345_6,5552.29,0.004032926995674992
100865,Michael Thomas,mthomas61l,12345_7,6609.26,0.01666279899847445
100866,Paul Miller,pmiller61l,12345_4,5141.91,0.002101873369018665
100867,Erik Mcdaniel,emcdaniel81k,12345_4,9134.61,0.008682750835850715
100868,Stephanie Kidd,skidd40e,12345_9,4941.03,0.005603053145679719
100869,Vickie Estrada,vestrada70e,12345_6,7211.29,0.007552540213782908
100870,Alexis Lopez,alopez50s,12345_6,7261.61,0.011795397134807005
100871,Benjamin Castillo,bcastillo82n,12345_8,3765.16,0.00040340467122992776
100872,James Suarez,jsuarez62s,12345_5,5438.93,0.014569952935708006
100873,Jamie Rosario,jrosario72e,12345_5,7251.13,0.0006178472954322989
100874,Jose Bradshaw,jbradshaw81e,12345_4,3745.58,0.0017265265267534025
100875,Mark Woods,mwoods51k,12345_4,7033.89,0.018204509807786994
100876,Kevin Wolfe,kwolfe52n,12345_5,5593.85,0.013517027163274962
100877,Jeremy Perez,jperez50y,12345_6,8127.95,0.002167104675988556
100878,Michael Ramirez,mramirez71l,12345_7,5911.32,0.015330732593832408
100879,Matthew Brock,mbrock51w,12345_7,7885.33,0.00812270140732654
100880,Samantha Pacheco,spacheco72a,12345_8,7796.14,0.0032665918104859307
100881,Victor Cooley,vcooley60r,12345_6,3744.17,0.017656672689405396
100882,Thomas Johnston,tjohnston80s,12345_6,6190.75,0.013006547451196167
100883,Timothy Richardson,trichardson101y,12345_7,9494.72,0.004685413785195565
100884,James Price,jprice52s,12345_5,7095.02,0.009392415127086183
100885,Brandon Nash,bnash41n,12345_7,7567.77,0.016186521552621496
100886,Brandon Douglas,bdouglas71n,12345_7,5109.47,0.0049240330334430074
100887,Corey Wong,cwong42y,12345_5,6742.21,0.001732512496955594
100888,Crystal Singh,csingh51l,12345_7,4200.66,0.005506652124208915
100889,Mario Stewart,mstewart72o,12345_5,6090.6,0.017235478525500426
100890,Stephanie Rivera,srivera60e,12345_9,6487.46,0.008864646923776824
100891,Jacqueline King,jking41e,12345_10,5945.74,0.012674038484566759
100892,Ryan Johnson,rjohnson71n,12345_4,4582.25,0.01707902804937843
100893,Susan Jones,sjones52n,12345_5,6143.32,0.004451313758895692
100894,Shane Hughes,shughes62e,12345_5,3604.43,0.0024974303294744817
100895,Andrew Heath,aheath50w,12345_6,4049.52,0.018142271328009423
100896,Albert Garcia,agarcia60t,12345_6,5910.67,0.019400051487406405
100897,Sherri Greene,sgreene60i,12345_6,5532.96,0.016572222032960274
100898,Christopher Mccarthy,cmccarthy82r,12345_11,7504.49,0.01161898983078949
100899,Hunter Bates,hbates50r,12345_6,3136.07,0.013079307157650938
100900,Donna Hughes,dhughes62a,12345_5,3445.77,0.018484103452725095
100901,Troy Johnson,tjohnson71y,12345_4,4741.73,0.019140605136683204
100902,Christopher Howard,choward62r,12345_11,2964.67,0.01822294729628
100903,Samantha Mcdaniel,smcdaniel82a,12345_8,3844.6,0.0033863628187610906
100904,Sharon Barber,sbarber60n,12345_6,5937.07,0.0033125541059052742
100905,Leslie Gonzales,lgonzales80e,12345_6,4048.02,0.008787762285824428
100906,Juan Alexander,jalexander91n,12345_4,5420.32,0.0032717050821995564
100907,Morgan Randall,mrandall70n,12345_6,6787.46,0.006136038379150714
100908,Charles Nichols,cnichols71s,12345_7,6065.53,0.013927145305748805
100909,Nicole Little,nlittle60e,12345_6,8164.54,0.017770899188748114
100910,Megan Rivera,mrivera62n,12345_5,7221.15,0.007506889711588514
100911,Brandon Woods,bwoods51n,12345_7,4490.33,1.962783590403916e-05
100912,Barbara Schroeder,bschroeder91a,12345_7,4256.84,0.00021230892507299705
100913,Heather Guerrero,hguerrero81r,12345_7,7074.11,0.009860725229795714
100914,Taylor Robinson,trobinson80r,12345_6,3106.58,0.010533900341904106
100915,Travis Williams,twilliams80s,12345_6,7638.98,0.01809712179192871
100916,Peter Rogers,progers62r,12345_5,3964.98,0.007609878968059427
100917,Amy Holmes,aholmes60y,12345_3,7557.34,0.00017441343216418437
100918,Haley Nelson,hnelson62y,12345_5,7791.09,0.007678281653429203
100919,Christina Cameron,ccameron70a,12345_9,5404.96,0.0043726008926970655
100920,Paula Lucas,plucas52a,12345_5,4578.37,0.018488948904637554
100921,George Harrison,gharrison80e,12345_6,5274.32,0.01690698401536952
100922,David Allen,dallen52d,12345_5,6904.42,0.002276712325190702
100923,Jeff Carter,jcarter61f,12345_4,7109.36,0.01965332198067929
100924,Frank Martinez,fmartinez82k,12345_5,6301.44,0.0101726801937586
100925,Melissa Stafford,mstafford81a,12345_7,6110.47,0.01494246279960268
100926,Christian White,cwhite50n,12345_9,4553.31,0.007806702691931915
100927,Christine Garza,cgarza50e,12345_9,4429.33,0.00029438581043311096
100928,Linda Carey,lcarey52a,12345_5,6272.07,0.010363650026297673
100929,Mr. James Ellis MD,mjames50.,12345_3,8264.57,0.015506356326102715
100930,Joseph Oconnor,joconnor70h,12345_6,4665.49,0.015057979428582453
100931,Jennifer Cox,jcox32r,12345_8,7757.58,0.009399465924738353
100932,Alicia Silva,asilva50a,12345_6,7127.12,0.012316683665598346
100933,Michael Conley,mconley61l,12345_7,5763.26,0.0004210279645599901
100934,Cole Harris,charris61e,12345_4,4107.2,0.0006273901724884534
100935,Hannah Jennings,hjennings80h,12345_6,5800.02,0.0023715306208053643
100936,Jordan Todd,jtodd40n,12345_6,2321.84,0.01571596698203903
100937,Joshua Butler,jbutler60a,12345_6,5910.5,0.01277287681520252
100938,Keith Wilkins,kwilkins72h,12345_5,9217.47,0.0025713693825290987
100939,Cheryl Stone,cstone50l,12345_6,6296.14,0.011994428732504154
100940,James Edwards,jedwards72s,12345_5,7305.43,0.013231605446195038
100941,Colleen Richardson,crichardson101n,12345_7,6231.71,0.008186855889809472
100942,Neil Smith,nsmith51l,12345_4,6064.9,0.018976810558069088
100943,Yvonne Wade,ywade40e,12345_6,3539.91,0.01959231484145543
100944,Ashley King,aking40y,12345_6,7900.37,0.013218110889637615
100945,Mary Robinson,mrobinson81y,12345_4,4547.86,0.01588597839470892
100946,Gregory Mccoy,gmccoy51y,12345_7,3456.36,0.01915629298562654
100947,Mr. Frank Davis PhD,mfrank50.,12345_3,6261.88,0.019598330512445927
100948,Troy Christensen,tchristensen111y,12345_4,7004.22,0.016782011109915323
100949,Candace Harrison,charrison81e,12345_7,2969.08,0.0030408488939045707
100950,Stefanie Hernandez,shernandez92e,12345_8,4756.4,0.012377118783152464
100951,Joe Little,jlittle60e,12345_3,5697.97,0.011145627929637088
100952,Kelly Davis,kdavis52y,12345_5,3222.23,0.009102297306683637
100953,Amanda Walsh,awalsh50a,12345_6,8516.6,0.018042939877303973
100954,Charles Wilson,cwilson61s,12345_7,7382.67,0.007301600791304655
100955,Emily Lambert,elambert72y,12345_5,3508.79,0.006844432925139274
100956,Tracy Andrews MD,tandrews72y,12345_5,2607.15,0.012345434136133383
100957,Stephen Murray,smurray61n,12345_7,4801.97,0.01894937431580622
100958,Joel Thompson,jthompson81l,12345_4,6047.51,0.0012117050689787058
100959,Yvette Jackson,yjackson70e,12345_6,7182.17,0.0131024122431216
100960,Anthony Green,agreen51y,12345_7,4217.82,0.005561465182245078
100961,Shannon Cannon,scannon61n,12345_7,4215.42,0.006565749429879657
100962,Brittany Weaver,bweaver62y,12345_8,6006.17,0.011282150208436382
100963,Erica Fletcher,efletcher82a,12345_5,7925.49,0.013294561257013447
100964,Erica Moore,emoore52a,12345_5,6855.19,0.017709330812631804
100965,Diane Ramsey DDS,dramsey62e,12345_5,4245.75,0.015531191855040068
